"","V2","FINAL_URL","Error_check","PRICE","Surface","Rooms","Bedrooms","FLOOR","BUILDTING_YEAR","LOCATION","ELECTRICITY_HEATING","GAS_HEATING"
"59","fd-36499809","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-36499809.html","clean","495","22  ",NA,"1"," 2",NA,NA,"38","10"
"60","fd-36693576","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-36693576.html","clean","296","16  ",NA,NA," 1",NA,"31400","32","25"
"61","fd-39629068","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39629068.html","clean","480","21  ",NA,NA," 1",NA,"31400",NA,NA
"62","fd-39645077","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39645077.html","clean","490","21  ",NA,"1",NA,NA,"31000",NA,NA
"63","fd-39246376","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39246376.html","clean","450","11  ",NA,"1",NA,NA,"31500","74","40"
"64","fd-39354150","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39354150.html","clean","500","26  ","2",NA,NA,NA,"31500",NA,NA
"65","fd-39245495","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39245495.html","clean","490","21  ",NA,NA," 3","1972","31400",NA,NA
"66","fd-39440200","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39440200.html","clean","481","23  ",NA,"1",NA,"1948","31000","42","19"
"67","fd-37374210","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37374210.html","clean","460","20  ",NA,NA,NA,NA,"31100","03","54"
"68","fd-33741801","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-33741801.html","clean","490","19  ",NA,NA," 1",NA,"31000","57","12"
"69","fd-36009965","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-36009965.html","clean","480","18  ",NA,NA," 1","1600","31000",NA,NA
"70","fd-39546248","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39546248.html","clean","495","29  ",NA,NA," 1","1950","31000","61",NA
"71","fd-39650191","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39650191.html","clean","490","27  ","2","1",NA,"1965","31000",NA,NA
"72","fd-39237135","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39237135.html","clean","495","21  ",NA,NA,NA,NA,"31400",NA,NA
"73","fd-39417275","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39417275.html","clean","440","11  ",NA,NA," 5","1970","31300","50","35"
"74","fd-39354122","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39354122.html","clean","385","13  ",NA,NA,NA,NA,"31000",NA,NA
"75","fd-36055824","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-36055824.html","clean","490","20  ",NA,NA,NA,NA,"31300","90","20"
"76","fd-39188382","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39188382.html","clean","475","21  ",NA,NA,NA,NA,"31000",NA,NA
"77","fd-38254722","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38254722.html","clean","470","69  ","4",NA,NA,NA,"31300","30","55"
"78","fd-39114771","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39114771.html","clean","471","17  ",NA,NA,NA,NA,"31500",NA,NA
"79","fd-39111397","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39111397.html","clean","456","19  ",NA,NA,NA,NA,"31000",NA,NA
"80","fd-39113506","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39113506.html","clean","430","70  ","3",NA,NA,NA,"31400",NA,NA
"81","fd-30336998","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-30336998.html","clean","500","168  ","11",NA,NA,NA,"31100","30","55"
"82","fd-39507646","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39507646.html","clean","395","71  ","5",NA," 7",NA,"31300","50","5"
"83","fd-39518989","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39518989.html","clean","492","18  ",NA,NA," 2",NA,"31000","25","7"
"84","fd-35456676","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-35456676.html","clean","400","75  ","5",NA," 3",NA,"31500","30","35"
"85","fd-37766963","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37766963.html","clean","465","20  ",NA,NA," 1",NA,"31100","50","5"
"86","fd-38548407","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38548407.html","clean","375","71  ","5",NA," 8",NA,"31300","50","5"
"87","fd-39480012","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39480012.html","clean","430","67  ","4","3"," 4","1960","31100","50",NA
"88","fd-39115469","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39115469.html","clean","430","15  ",NA,NA,NA,NA,"31500","30","35"
"89","fd-38278179","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38278179.html","clean","430","24  ",NA,NA," 3",NA,"31100","89","21"
"90","fd-39378565","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39378565.html","clean","492","18  ",NA,"1"," 1","1970","31000","25","24"
"91","fd-39278402","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39278402.html","clean","500","16  ",NA,NA," 1","1965","31300","09","17"
"502","fd-24985230","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-24985230.html","clean","390","13  ",NA,NA,NA,NA,"31500","28","24"
"503","fd-36763947","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-36763947.html","clean","475","18  ",NA,NA," 1",NA,"31400","08","20"
"504","fd-38737450","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38737450.html","clean","480","23  ",NA,NA," 2","1970","31000","75","11"
"505","fd-38819690","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38819690.html","clean","442","18  ",NA,NA,NA,"1988","31400","76","10"
"506","fd-39719454","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39719454.html","clean","489","22  ",NA,NA," 2","1983","31200","23","15"
"507","fd-39721295","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39721295.html","clean","448","27  ",NA,NA," 2","1971","31400","28","53"
"508","fd-39714853","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39714853.html","clean","500","18  ",NA,NA,NA,"1985","31500",NA,NA
"509","fd-37987182","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37987182.html","clean","437","19  ",NA,NA,NA,"2000","31100","98","11"
"510","fd-39715289","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39715289.html","clean","470","19  ",NA,NA,NA,NA,"31300","65","13"
"511","fd-36094440","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-36094440.html","clean","470","18  ",NA,NA," 1","1940","31500","16","13"
"512","fd-39296679","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39296679.html","clean","473","28  ",NA,NA,NA,"1989","31500","30","10"
"513","fd-39518977","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39518977.html","clean","490","27  ","2","1"," 1",NA,"31500",NA,NA
"514","fd-38849029","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38849029.html","clean","450","20  ",NA,NA," 1","1930","31400","12","10"
"515","fd-38054100","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38054100.html","clean","420","21  ",NA,NA," 1","1900","31300",NA,NA
