"","V2","FINAL_URL","Error_check","PRICE","Surface","Rooms","Bedrooms","FLOOR","BUILDTING_YEAR","LOCATION","ELECTRICITY_HEATING","GAS_HEATING"
"2075","fd-37690672","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37690672.html","clean","1 652","108  ","4","3",NA,NA,"31000",NA,NA
"2076","fd-38050587","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38050587.html","clean","1 830","105  ","4","3"," 3",NA,"31000",NA,NA
"2077","fd-36494271","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-36494271.html","clean","1 899","137  ","4","3"," 1","1948","31000",NA,"5"
"2078","fd-39306266","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39306266.html","clean","1 892","150  ","5","4"," 1",NA,"31000","78","41"
"2079","fd-39617623","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39617623.html","clean","1 812","122  ","5","4",NA,NA,"31000","40","2"
"2082","fd-39304662","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39304662.html","clean","1 826","110  ","6","5"," 2",NA,"31300","37","4"
"2083","fd-37102991","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37102991.html","clean","1 690","150  ","5","4"," 4","2011","31200","28","13"
"2084","fd-35603754","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-35603754.html","clean","1 950","118  ","4","3"," 2",NA,"31000",NA,NA
"2085","fd-39673757","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39673757.html","clean","1 530","119  ","4","2",NA,NA,"31000",NA,NA
"2086","fd-39693389","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39693389.html","clean","1 745","123  ","5",NA,NA,NA,"31400","87","10"
"2087","fd-39693114","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39693114.html","clean","1 590","135  ","4",NA,NA,NA,"31000",NA,NA
"2088","fd-39121005","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39121005.html","clean","1 610","114  ","4",NA,NA,NA,"31000","50","35"
"2089","fd-39121483","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39121483.html","clean","1 740","124  ","4",NA,NA,NA,"31000","30","20"
"2090","fd-39683220","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39683220.html","clean","1 790","117  ","4",NA,NA,NA,"31000","30","5"
